Symbol,Nasdaq Traded,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
A,True,"Agilent Technologies, Inc. Common Stock",N, ,False,100.0,False,,A,A,False
AA,True,Alcoa Corporation Common Stock ,N, ,False,100.0,False,,AA,AA,False
AAA,True,Alternative Access First Priority CLO Bond ETF,P, ,True,100.0,False,,AAA,AAA,False
AAAU,True,Goldman Sachs Physical Gold ETF Shares,Z, ,True,100.0,False,,AAAU,AAAU,False
AACG,True,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,False,100.0,False,N,,AACG,False
AACI,True,Armada Acquisition Corp. I - Common Stock,Q,G,False,100.0,False,N,,AACI,False
AACIU,True,Armada Acquisition Corp. I - Unit,Q,G,False,100.0,False,N,,AACIU,False
AACIW,True,Armada Acquisition Corp. I - Warrant,Q,G,False,100.0,False,N,,AACIW,False
AACT,True,Ares Acquisition Corporation II Class A Ordinary Shares,N, ,False,100.0,False,,AACT,AACT,False
AACT.U,True,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",N, ,False,100.0,False,,AACT.U,AACT=,False
AACT.W,True,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",N, ,False,100.0,False,,AACT.WS,AACT+,False
AADI,True,"Aadi Bioscience, Inc. - Common Stock",Q,S,False,100.0,False,N,,AADI,False
AADR,True,AdvisorShares Dorsey Wright ADR ETF,Q,G,True,100.0,False,N,,AADR,False
AAGR,True,African Agriculture Holdings Inc. - Common Stock,Q,G,False,100.0,False,D,,AAGR,False
